GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households,"v_CA21_3: Population percentage change, 2016 to 2021"
5350312.06,CT,312.06,0.4584,3415,1103,1053,-0.8
5350312.07,CT,312.07,0.6223,3535,1486,1430,14.9
5350313,CT,313,2.87,5554,1894,1825,0
5350314.01,CT,314.01,0.4281,6275,2356,2267,24.6
5350314.02,CT,314.02,1.0903,5130,1666,1585,3.5
5350315.01,CT,315.01,1.5036,3267,1207,1109,-3
5350315.02,CT,315.02,0.4279,3365,1137,1060,-5
5350315.03,CT,315.03,6.0097,5562,1907,1759,1
5350316.01,CT,316.01,1.7746,3970,1277,1215,1.5
5350316.03,CT,316.03,0.4007,5761,2034,1934,-2.2
5350316.04,CT,316.04,0.461,4105,1763,1645,-4
5350316.05,CT,316.05,0.4047,4104,1417,1351,2.8
5350316.06,CT,316.06,0.4052,3367,1139,1084,-8.3
5350317.02,CT,317.02,0.4323,7242,3415,3221,-1.4
5350317.03,CT,317.03,1.1854,3531,1253,1224,-4.3
5350317.04,CT,317.04,0.7174,6731,2615,2503,1.6
5350317.05,CT,317.05,0.4948,2162,830,799,-3
5350318.01,CT,318.01,1.415,4762,1806,1704,0.9
5350318.02,CT,318.02,0.4914,4137,1939,1802,7.4
5350319,CT,319,1.2016,4099,1595,1509,-2.2
5350320.01,CT,320.01,0.7368,5178,2111,2020,-0.4
5350320.02,CT,320.02,0.8528,5802,2123,2055,-1.1
5350321.01,CT,321.01,1.2567,3808,1359,1282,-0.6
5350321.02,CT,321.02,1.2172,3879,1541,1442,-3.7
5350322.01,CT,322.01,0.2081,4495,2366,2192,-5.1
5350322.02,CT,322.02,1.4061,3814,1326,1249,9
5350323.01,CT,323.01,1.0347,4274,1903,1813,-0.3
5350323.02,CT,323.02,1.8295,4950,1936,1828,-7.8
5350324.01,CT,324.01,1.1843,3275,1195,1114,-6.4
5350324.02,CT,324.02,1.8907,5925,2252,2163,-3.2
5350324.03,CT,324.03,2.1668,3671,1754,1673,-4.9
5350324.05,CT,324.05,0.6557,3336,1411,1375,-1.5
5350324.06,CT,324.06,0.6561,3442,1200,1171,-3.3
5350330,CT,330,2.2367,4252,1759,1708,-0.8
5350331.01,CT,331.01,1.574,5545,2294,2223,-1.5
5350331.03,CT,331.03,0.5097,6065,1931,1852,-1.6
5350331.04,CT,331.04,1.1055,3372,1400,1341,5
5350332,CT,332,1.53,7337,2902,2761,-0.2
5350333,CT,333,2.4472,4717,1711,1632,0.5
5350334,CT,334,2.448,3610,1359,1285,3.1
5350335,CT,335,2.2299,7857,3091,2960,1.5
5350336,CT,336,1.6111,6901,2573,2440,1.9
5350337.01,CT,337.01,0.2017,1177,630,564,63.2
5350337.02,CT,337.02,0.6467,2008,884,841,-6.8
5350338,CT,338,1.6845,6092,2811,2679,2.3
5350339,CT,339,1.8174,6937,3257,3093,3.7
5350340,CT,340,1.2679,6931,2577,2456,2.4
5350341.02,CT,341.02,0.8044,4576,1924,1791,4.5
5350341.03,CT,341.03,0.4,3185,1238,1165,-7.3
5350341.04,CT,341.04,0.671,6152,2493,2359,2
5350342,CT,342,1.2368,7329,2438,2368,-3.1
5350343,CT,343,1.1126,4260,1650,1549,1
5350344.01,CT,344.01,1.0624,5183,1973,1841,-0.1
5350344.02,CT,344.02,0.2228,3301,1842,1773,-1.9
5350345,CT,345,0.7893,4042,1449,1360,2.6
5350346.01,CT,346.01,1.5133,4630,1707,1612,-0.1
5350346.02,CT,346.02,0.4,5323,2030,1959,-1.2
5350347,CT,347,1.4992,3390,1109,1080,19.7
5350348,CT,348,2.3159,5780,2020,1947,3.2
5350349,CT,349,0.8762,5633,2350,2220,-1.5
5350350,CT,350,3.361,5228,2046,1944,-3.5
5350351.01,CT,351.01,0.9749,5376,2119,1993,-2.2
5350351.02,CT,351.02,0.5669,2683,1074,1013,-2.6
5350352,CT,352,1.1268,5278,1917,1829,-0.6
5350353.02,CT,353.02,1.2111,5464,1717,1641,3
5350353.03,CT,353.03,0.4081,3000,1094,1044,-3.4
5350353.04,CT,353.04,0.6296,4255,1637,1531,-5.6
5350354,CT,354,1.3228,5421,1847,1716,0.3
5350355.02,CT,355.02,1.1008,5097,1975,1897,-2.2
5350355.04,CT,355.04,0.5752,5152,1803,1741,-2.2
5350355.05,CT,355.05,0.3124,3525,1488,1395,16.2
5350355.06,CT,355.06,0.1918,1791,610,586,9
5350356,CT,356,1.5419,4962,1599,1515,2.7
5350357.01,CT,357.01,1.0372,6706,2480,2351,-5.9
5350357.02,CT,357.02,1.0921,5001,1775,1704,1.2
5350358.01,CT,358.01,1.1212,3504,1181,1116,3.1
5350358.02,CT,358.02,0.6179,5280,2151,2042,11.6
5350358.03,CT,358.03,1.0926,5718,2298,2209,2.1
5350359,CT,359,2.2076,7681,2947,2760,1.6
